Entidad,Plantel,Modelo educativo,Clave de la carrera,Carrera Profesional Tecnico -Bachiller,Matricula,Periodo,
Jalisco,"Lic. Francisco Medina Ascencio, Mexicano-Italiano",2008,EMEC08,Electromecánica Industrial,290,Febrero - Junio 2018,
Jalisco,"Lic. Francisco Medina Ascencio, Mexicano-Italiano",2008,MECC08,Equipo de Cómputo,5,Febrero - Junio 2018,
Jalisco,"Lic. Francisco Medina Ascencio, Mexicano-Italiano",2008,EKIN08,Sistemas Electrónicos,122,Febrero - Junio 2018,
Jalisco,"Lic. Francisco Medina Ascencio, Mexicano-Italiano",2008,MAHE08,Máquinas Herramienta,111,Febrero - Junio 2018,
Jalisco,"Lic. Francisco Medina Ascencio, Mexicano-Italiano",2008,SOMA13B,Soporte y Mantenimiento de Equipo de Cómputo,383,Febrero - Junio 2018,
Jalisco,"Lic. Francisco Medina Ascencio, Mexicano-Italiano",2003,EMEC0203,Profesional Técnico-Bachiller en Electromecánica,1,Febrero - Junio 2018,
Jalisco,"Lic. Francisco Medina Ascencio, Mexicano-Italiano",PROCEIES,PROCEIES,Programa de Complementación de Estudios para Ingreso a la Educación Superior,1,Febrero - Junio 2018,
Jalisco,"Lic. Francisco Medina Ascencio, Mexicano-Italiano",EMPRESA crown,EMEC08,Electromecánica Industrial,48,Febrero - Junio 2018,
Jalisco,"Lic. Francisco Medina Ascencio, Mexicano-Italiano",DUAL,EMEC08,Profesional Técnico-Bachiller en Electromecánica Industrial,8,Febrero - Junio 2018,
Jalisco,"Lic. Francisco Medina Ascencio, Mexicano-Italiano",DUAL VOIT,MAHE08,Máquinas Herramienta,8,Febrero - Junio 2018,
Jalisco,Guadalajara II,2008,ASDI08,Profesional Técnico-Bachiller Asistente Directivo,205,Febrero - Junio 2018,
Jalisco,Guadalajara II,2008,CONA13B,Profesional Técnico-Bachiller en Contabilidad,201,Febrero - Junio 2018,
Jalisco,Guadalajara II,2008,CONT08,Profesional Técnico-Bachiller en Contaduría,1,Febrero - Junio 2018,
Jalisco,Guadalajara II,2008,INFO08,Profesional Técnico-Bachiller en Informática,558,Febrero - Junio 2018,
Jalisco,Guadalajara II,2008,PROCEIES,Programa de Complementación de Estudios para Ingreso a la Educación Superior,1,Febrero - Junio 2018,
Jalisco,Guadalajara II,EMPRESA HELLA,INFO08,Informática,17,Febrero - Junio 2018,
Jalisco,Arandas,2008,ASDI08,Asistente Directivo,494,Febrero - Junio 2018,
Jalisco,Arandas,2008,INFO08,Informática,269,Febrero - Junio 2018,
Jalisco,Puerto Vallarta,2008,ALBE08,Alimentos y Bebidas,415,Febrero - Junio 2018,
Jalisco,Puerto Vallarta,2008,INFO08,Informática,405,Febrero - Junio 2018,
Jalisco,Puerto Vallarta,DUAL HYATT ZIVA,ALBE08,Alimentos y Bebidas,10,Febrero - Junio 2018,
Jalisco,Guadalajara I,2008,CONA13B,Contabilidad,186,Febrero - Junio 2018,
Jalisco,Guadalajara I,2008,CONS08,Construcción,174,Febrero - Junio 2018,
Jalisco,Guadalajara I,2008,CONT08,Contaduría,1,Febrero - Junio 2018,
Jalisco,Guadalajara I,2008,EMEC08,Electromecánica Industrial,357,Febrero - Junio 2018,
Jalisco,Guadalajara I,2003,CONS0103,Profesional Técnico-Bachiller en Construcción,2,Febrero - Junio 2018,
Jalisco,Tlaquepaque,2008,CONA13B,Contabilidad,405,Febrero - Junio 2018,
Jalisco,Tlaquepaque,2008,CONT08,Contaduría,3,Febrero - Junio 2018,
Jalisco,Tlaquepaque,2008,INFO08,Informática,789,Febrero - Junio 2018,
Jalisco,Jose Ma. Martínez R- Tamazula,2008,CONA13B,Profesional Técnico-Bachiller en Contabilidad,275,Febrero - Junio 2018,
Jalisco,Jose Ma. Martínez R- Tamazula,2008,INFO08,Profesional Técnico-Bachiller en Informática,183,Febrero - Junio 2018,
Jalisco,Jose Ma. Martínez R- Tamazula,2008,MAUT13B,Profesional Técnico-Bachiller en Mantenimiento Automotriz,138,Febrero - Junio 2018,
Jalisco,Jalostotitlan,2008,AUTO08,Automotriz,0,Febrero - Junio 2018,
Jalisco,Jalostotitlan,2008,CONA13B,Contabilidad,317,Febrero - Junio 2018,
Jalisco,Jalostotitlan,2008,CONT08,Contaduría,1,Febrero - Junio 2018,
Jalisco,Jalostotitlan,2008,MAUT13B,Mantenimiento Automotriz,183,Febrero - Junio 2018,
Jalisco,Juanacatlan,2008,ATRO08,Profesional Técnico-Bachiller en Autotrónica,72,Febrero - Junio 2018,
Jalisco,Juanacatlan,2008,CONA13B,Profesional Técnico-Bachiller en Contabilidad,222,Febrero - Junio 2018,
Jalisco,Juanacatlan,2008,EMEC08,Profesional Técnico-Bachiller en Electromecánica Industrial,331,Febrero - Junio 2018,
Jalisco,Juanacatlan,2008,MAUT13B,Profesional Técnico-Bachiller en Mantenimiento Automotriz,107,Febrero - Junio 2018,
Jalisco,Juanacatlan,2008,AUTO08,Profesional Técnico-Bachiller en Automotriz,2,Febrero - Junio 2018,
Jalisco,Juanacatlan,EMPRESARIAL HELLA,EMEC08,Electromecánica Industrial,22,Febrero - Junio 2018,
Jalisco,Lagos de Moreno,2008,EMEC08,Electromecánica Industrial,352,Febrero - Junio 2018,
Jalisco,Lagos de Moreno,2008,ENFE08,Enfermería General,448,Febrero - Junio 2018,
Jalisco,Lagos de Moreno,2008,INFO08,Informática,288,Febrero - Junio 2018,
Jalisco,Lagos de Moreno,DUAL NESTLÉ / CPW,EMEC08,Electromecánica Industrial,16,Febrero - Junio 2018,
Jalisco,Acatlan de Juarez,2008,ASDI08,Profesional Técnico-Bachiller Asistente Directivo,196,Febrero - Junio 2018,
Jalisco,Acatlan de Juarez,2008,AUTO08,Profesional Técnico-Bachiller Automotriz,0,Febrero - Junio 2018,
Jalisco,Acatlan de Juarez,2008,ATRO08,Profesional Técnico-Bachiller en Autotrónica,144,Febrero - Junio 2018,
Jalisco,Acatlan de Juarez,2008,CONA13B,Profesional Técnico-Bachiller en Contabilidad,168,Febrero - Junio 2018,
Jalisco,Acatlan de Juarez,2008,MAUT13B,Profesional Técnico-Bachiller en Mantenimiento Automotriz,202,Febrero - Junio 2018,
Jalisco,Guadalajara III,2008,AUTO08,Automotriz,8,Febrero - Junio 2018,
Jalisco,Guadalajara III,2008,MAUT13B,Mantenimiento Automotriz,380,Febrero - Junio 2018,
